,index,longitude_x,latitude_x,Visibility (km),Year,Month,Day,latitude_y,longitude_y,Station Name,Mean Temp (C),data,Count,longitude,latitude,MonthDayYear
0,0,-114.01000000000006,51.11999999999998,42.57083333333333,2018,1,1,51.12,-114.01,CALGARY INTL A,-15.8,Weather,12,-1368.5659423908521,612.6612755217787,01/01/2018
1,1,-114.01000000000006,51.11999999999998,40.891666666666666,2018,1,2,51.12,-114.01,CALGARY INTL A,-4.5,Weather,30,-3421.16811305475,1531.043994917833,01/02/2018
2,2,-114.01000000000006,51.11999999999998,39.2125,2018,1,3,51.12,-114.01,CALGARY INTL A,-2.5,Weather,26,-2965.4846717363735,1326.5160349461166,01/03/2018
3,3,-114.01000000000006,51.11999999999998,40.891666666666666,2018,1,4,51.12,-114.01,CALGARY INTL A,-4.9,Weather,22,-2509.4297580230705,1122.8986194353918,01/04/2018
4,4,-114.01000000000006,51.11999999999998,40.891666666666666,2018,1,5,51.12,-114.01,CALGARY INTL A,-1.3,Weather,20,-2280.67059574997,1020.3196398906579,01/05/2018
5,5,-114.01000000000006,51.11999999999998,39.550000000000004,2018,1,6,51.12,-114.01,CALGARY INTL A,3.9,Weather,10,-1140.363940156026,510.5699754693126,01/06/2018
6,6,-114.01000000000006,51.11999999999998,40.020833333333336,2018,1,7,51.12,-114.01,CALGARY INTL A,-1.0,Weather,6,-684.52633532192,306.45931143616315,01/07/2018
7,7,-114.01000000000006,51.11999999999998,39.2125,2018,1,8,51.12,-114.01,CALGARY INTL A,1.1,Weather,10,-1140.710456336879,510.231418950976,01/08/2018
8,8,-114.01000000000006,51.11999999999998,16.370833333333337,2018,1,9,51.12,-114.01,CALGARY INTL A,-9.3,Weather,14,-1597.0600975375128,714.2485426671842,01/09/2018
9,9,-114.01000000000006,51.11999999999998,10.5875,2018,1,10,51.12,-114.01,CALGARY INTL A,-21.4,Weather,30,-3421.3246929359307,1530.7320878442404,01/10/2018
10,10,-114.01000000000006,51.11999999999998,9.316666666666666,2018,1,11,51.12,-114.01,CALGARY INTL A,-25.5,Weather,46,-5246.005608813407,2347.0145680584997,01/11/2018
11,11,-114.01000000000006,51.11999999999998,28.65416666666667,2018,1,12,51.12,-114.01,CALGARY INTL A,-20.9,Weather,35,-3992.3535583496446,1786.1194013198394,01/12/2018
12,12,-114.01000000000006,51.11999999999998,39.69583333333333,2018,1,13,51.12,-114.01,CALGARY INTL A,-6.5,Weather,21,-2394.667563378799,1071.6412597576357,01/13/2018
13,13,-114.01000000000006,51.11999999999998,15.904166666666667,2018,1,14,51.12,-114.01,CALGARY INTL A,-3.0,Weather,13,-1482.9006360052151,663.6542524225702,01/14/2018
14,14,-114.01000000000006,51.11999999999998,7.070833333333333,2018,1,15,51.12,-114.01,CALGARY INTL A,-7.9,Weather,22,-2509.113354069007,1122.7355205828935,01/15/2018
15,15,-114.01000000000006,51.11999999999998,36.87916666666667,2018,1,16,51.12,-114.01,CALGARY INTL A,-0.6,Weather,21,-2395.5950208975582,1071.662021742142,01/16/2018
16,16,-114.01000000000006,51.11999999999998,40.891666666666666,2018,1,17,51.12,-114.01,CALGARY INTL A,1.3,Weather,14,-1596.5716539831042,714.4592188791164,01/17/2018
17,17,-114.01000000000006,51.11999999999998,30.816666666666674,2018,1,18,51.12,-114.01,CALGARY INTL A,2.2,Weather,17,-1939.2927584904307,867.8381791751794,01/18/2018
18,18,-114.01000000000006,51.11999999999998,41.229166666666664,2018,1,19,51.12,-114.01,CALGARY INTL A,-1.7,Weather,18,-2052.8357141149063,918.4764998008952,01/19/2018
19,19,-114.01000000000006,51.11999999999998,41.5625,2018,1,20,51.12,-114.01,CALGARY INTL A,-0.8,Weather,18,-2053.24797567482,918.5684694568318,01/20/2018
20,20,-114.01000000000006,51.11999999999998,40.891666666666666,2018,1,21,51.12,-114.01,CALGARY INTL A,-1.9,Weather,10,-1140.5151216865129,510.27190467632806,01/21/2018
21,21,-114.01000000000006,51.11999999999998,36.19583333333333,2018,1,22,51.12,-114.01,CALGARY INTL A,-1.4,Weather,10,-1140.69328055816,510.5061622715904,01/22/2018
22,22,-114.01000000000006,51.11999999999998,37.5375,2018,1,23,51.12,-114.01,CALGARY INTL A,-4.3,Weather,19,-2166.9038146463677,970.0672974045065,01/23/2018
